1949,select * from zoo2MainSpecz where dr8objid = #
2019-07-06 11:02:00,3
2019-07-06 11:03:00,2
2019-07-06 11:04:00,3
2019-07-08 00:16:00,1
2019-07-08 04:27:00,1
2019-07-08 06:12:00,1
2019-07-09 16:43:00,14
2019-07-09 16:44:00,6
2019-07-10 04:41:00,1
2019-07-10 05:02:00,1
2019-07-10 06:07:00,1
2019-07-10 06:49:00,1
2019-07-10 07:22:00,1
2019-07-10 18:12:00,1
2019-07-10 19:56:00,1
2019-07-10 23:05:00,1
2019-07-10 23:48:00,1
2019-07-10 23:49:00,1
2019-07-11 01:45:00,1
2019-07-11 05:39:00,4
2019-07-11 05:40:00,28
2019-07-11 08:12:00,13
2019-07-11 08:13:00,9
2019-07-11 08:49:00,1
2019-07-11 12:13:00,1
2019-07-11 13:18:00,1
2019-07-11 16:31:00,1
2019-07-11 19:54:00,2
2019-07-11 20:02:00,1
2019-07-11 20:50:00,1
2019-07-11 22:16:00,1
2019-07-11 23:02:00,5
2019-07-12 05:16:00,26
2019-07-12 05:17:00,21
2019-07-12 07:21:00,29
2019-07-12 07:22:00,2
2019-07-13 05:07:00,24
2019-07-13 05:08:00,5
2019-07-13 07:16:00,1
2019-07-13 19:09:00,1
2019-07-16 14:15:00,1
2019-07-16 18:05:00,1
2019-07-16 18:28:00,1
2019-07-16 18:53:00,1
2019-07-16 18:56:00,1
2019-07-17 04:33:00,1
2019-07-17 05:44:00,1
2019-07-17 06:37:00,1
2019-07-17 10:19:00,1
2019-07-17 10:30:00,1
2019-07-17 12:43:00,1
2019-07-17 14:24:00,1
2019-07-17 19:31:00,1
2019-07-17 20:51:00,1
2019-07-18 04:20:00,1
2019-07-18 07:06:00,1
2019-07-18 08:59:00,1
2019-07-18 09:33:00,1
2019-07-18 14:22:00,1
2019-07-18 15:03:00,1
2019-07-18 16:51:00,1
2019-07-18 19:55:00,1
2019-07-18 20:14:00,1
2019-07-18 21:23:00,1
2019-07-19 00:05:00,1
2019-07-19 00:24:00,1
2019-07-19 05:53:00,1
2019-07-19 07:27:00,1
2019-07-19 07:43:00,1
2019-07-19 10:19:00,1
2019-07-19 10:22:00,1
2019-07-19 10:24:00,1
2019-07-19 10:29:00,1
2019-07-19 10:45:00,1
2019-07-19 11:02:00,1
2019-07-19 12:58:00,1
2019-07-19 13:00:00,1
2019-07-19 13:03:00,1
2019-07-19 13:21:00,1
2019-07-19 13:33:00,1
2019-07-19 13:41:00,1
2019-07-19 14:06:00,1
2019-07-19 15:45:00,1
2019-07-19 16:09:00,1
2019-07-19 16:12:00,1
2019-07-19 17:25:00,1
2019-07-19 18:03:00,1
2019-07-19 18:56:00,1
2019-07-19 21:04:00,1
2019-07-19 22:00:00,1
2019-07-20 03:40:00,1
2019-07-20 11:51:00,1
2019-07-20 13:56:00,1
2019-07-20 21:58:00,1
2019-07-20 22:19:00,1
2019-07-21 01:26:00,1
2019-07-21 05:38:00,1
2019-07-21 07:40:00,1
2019-07-21 11:05:00,1
2019-07-21 12:27:00,1
2019-07-21 17:16:00,1
2019-07-22 14:31:00,1
2019-07-22 15:14:00,1
2019-07-22 16:22:00,1
2019-07-23 01:27:00,1
2019-07-23 06:14:00,1
2019-07-23 11:43:00,1
2019-07-24 02:11:00,2
2019-07-24 02:12:00,4
2019-07-24 08:48:00,1
2019-07-24 14:21:00,1
2019-07-25 01:28:00,1
2019-07-25 03:02:00,1
2019-07-25 14:31:00,1
2019-07-25 23:19:00,1
2019-07-26 01:15:00,1
2019-07-26 06:28:00,1
2019-07-26 07:07:00,1
2019-07-26 11:09:00,1
2019-07-27 08:44:00,1
2019-07-28 01:04:00,1
2019-07-29 02:22:00,3
2019-07-29 07:06:00,2
2019-07-29 07:07:00,1
2019-07-29 09:09:00,1
2019-07-29 09:29:00,1
2019-07-29 19:01:00,1
2019-07-29 21:08:00,1
2019-07-29 22:49:00,1
2019-07-30 03:36:00,1
2019-08-03 12:29:00,1
2019-08-03 12:30:00,1
2019-08-04 14:13:00,1
2019-08-04 20:36:00,1
2019-08-04 21:54:00,1
2019-08-05 13:54:00,1
2019-08-06 22:38:00,1
2019-08-08 08:19:00,1
2019-08-08 17:21:00,1
2019-08-08 23:49:00,1
2019-08-08 23:52:00,1
2019-08-09 18:37:00,1
2019-08-10 00:05:00,1
2019-08-10 08:16:00,1
2019-08-10 12:13:00,1
2019-08-10 12:59:00,1
2019-08-10 13:01:00,1
2019-08-10 13:11:00,1
2019-08-10 13:16:00,1
2019-08-10 13:18:00,1
2019-08-10 13:30:00,1
2019-08-10 13:49:00,1
2019-08-10 14:06:00,1
2019-08-10 15:07:00,1
2019-08-10 17:37:00,1
2019-08-10 18:13:00,1
2019-08-10 19:48:00,1
2019-08-10 20:36:00,1
2019-08-11 13:02:00,1
2019-08-12 16:04:00,1
2019-08-13 03:08:00,1
2019-08-13 20:56:00,1
2019-08-13 21:07:00,1
2019-08-14 09:45:00,2
2019-08-14 10:50:00,1
2019-08-14 11:10:00,1
2019-08-14 14:44:00,1
2019-08-14 16:04:00,1
2019-08-15 04:01:00,1
2019-08-17 07:39:00,1
2019-08-19 12:16:00,1
2019-08-19 19:22:00,1
2019-08-20 07:16:00,1
2019-08-25 18:40:00,1
2019-08-27 05:01:00,2
2019-08-29 21:23:00,9
2019-08-29 21:24:00,8
2019-09-03 06:38:00,2
2019-09-04 19:43:00,1
2019-09-06 12:04:00,1
2019-09-06 22:58:00,1
2019-09-09 07:35:00,1
2019-09-21 22:06:00,1
2019-09-22 09:45:00,1
2019-09-22 14:26:00,1
2019-09-22 15:06:00,1
2019-09-22 17:08:00,1
2019-09-22 21:39:00,1
2019-09-23 00:30:00,1
2019-09-23 16:11:00,1
2019-09-23 18:23:00,1
2019-09-23 18:44:00,1
2019-09-23 19:06:00,1
2019-09-24 02:10:00,1
2019-09-24 02:19:00,1
2019-09-24 08:24:00,1
2019-09-24 08:58:00,1
2019-09-24 10:14:00,1
2019-09-24 10:56:00,7
2019-09-24 10:57:00,1
2019-09-25 01:32:00,1
2019-09-25 03:16:00,1
2019-09-25 04:45:00,1
2019-09-25 16:09:00,1
2019-09-25 20:02:00,1
2019-09-26 17:57:00,1
2019-09-26 22:53:00,1
2019-09-26 22:56:00,1
2019-09-27 12:30:00,8
2019-09-27 12:31:00,12
2019-09-27 16:11:00,1
2019-09-27 18:50:00,1
2019-09-28 02:06:00,1
2019-09-28 11:07:00,1
2019-09-28 23:24:00,1
2019-09-29 00:16:00,1
2019-09-29 07:02:00,1
2019-09-29 09:06:00,2
2019-09-29 09:07:00,26
2019-09-29 09:08:00,12
2019-09-29 10:58:00,1
2019-09-29 12:51:00,1
2019-09-29 15:26:00,15
2019-09-29 17:08:00,1
2019-09-29 18:48:00,1
2019-09-29 20:23:00,2
2019-09-29 20:43:00,1
2019-09-29 22:20:00,1
2019-09-30 04:47:00,4
2019-09-30 04:48:00,19
2019-09-30 09:08:00,33
2019-09-30 09:09:00,27
2019-09-30 15:33:00,1
2019-09-30 19:23:00,1
2019-09-30 20:35:00,1
2019-09-30 21:34:00,1
2019-09-30 22:36:00,1
2019-10-01 02:59:00,1
2019-10-01 03:54:00,1
2019-10-01 05:03:00,8
2019-10-01 05:04:00,22
2019-10-01 09:23:00,1
2019-10-01 11:40:00,1
2019-10-01 12:54:00,1
2019-10-02 10:28:00,1
