8329,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-04-04 23:54:00,5
2019-04-04 23:58:00,3
2019-04-05 00:01:00,1
2019-04-05 00:02:00,7
2019-04-05 00:03:00,11
2019-04-05 00:09:00,2
2019-04-05 00:10:00,4
2019-04-05 00:11:00,2
2019-04-05 00:12:00,2
2019-04-05 00:13:00,2
2019-04-05 00:14:00,6
2019-04-05 00:15:00,12
2019-04-05 00:16:00,3
2019-04-05 00:19:00,9
2019-04-05 00:22:00,1
2019-04-05 00:23:00,2
2019-04-05 07:54:00,1
2019-04-07 04:06:00,1
2019-04-07 04:14:00,1
2019-04-07 04:30:00,1
2019-04-07 04:32:00,1
2019-04-07 04:34:00,1
2019-04-09 01:13:00,2
2019-04-09 21:25:00,1
2019-04-09 21:27:00,1
2019-04-10 00:54:00,2
2019-04-10 16:10:00,1
2019-04-10 16:18:00,1
2019-04-10 18:51:00,1
2019-04-10 18:54:00,1
2019-04-10 20:30:00,1
2019-04-10 20:32:00,1
2019-04-12 15:23:00,1
2019-04-12 15:24:00,1
2019-04-12 15:34:00,1
2019-04-12 15:35:00,3
2019-04-12 15:38:00,1
2019-04-12 15:39:00,3
2019-04-13 08:49:00,1
2019-04-13 08:51:00,1
2019-04-13 08:52:00,1
2019-04-13 08:59:00,1
2019-04-13 09:05:00,1
2019-04-13 09:09:00,1
2019-04-13 09:10:00,1
2019-04-13 09:14:00,1
2019-04-13 09:17:00,1
2019-04-13 09:19:00,2
2019-04-13 09:22:00,1
2019-04-13 09:23:00,2
2019-04-13 09:25:00,1
2019-04-13 10:10:00,1
2019-04-13 10:11:00,1
2019-04-13 10:14:00,1
2019-04-13 10:15:00,2
2019-04-13 10:16:00,1
2019-04-13 10:17:00,1
2019-04-13 10:19:00,1
2019-04-13 10:20:00,1
2019-04-13 10:22:00,1
2019-04-13 10:24:00,1
2019-04-13 10:25:00,1
2019-04-13 15:46:00,1
2019-04-14 09:52:00,1
2019-04-14 09:56:00,2
2019-04-14 10:26:00,1
2019-04-14 10:31:00,5
2019-04-14 10:33:00,6
2019-04-14 10:35:00,1
2019-04-14 10:36:00,5
2019-04-16 15:07:00,1
2019-04-17 02:57:00,1
2019-04-18 16:21:00,2
2019-04-19 15:57:00,1
2019-04-19 16:09:00,1
2019-04-19 17:16:00,2
2019-04-20 05:03:00,2
2019-04-22 03:02:00,1
2019-04-22 03:20:00,2
2019-04-22 03:21:00,1
2019-04-22 03:22:00,2
2019-04-22 03:23:00,1
2019-04-22 03:24:00,1
2019-04-22 03:26:00,1
2019-04-22 03:28:00,1
2019-04-22 03:30:00,1
2019-04-22 03:31:00,1
2019-04-22 23:17:00,1
2019-04-22 23:18:00,1
2019-04-22 23:19:00,2
2019-04-22 23:20:00,1
2019-04-22 23:21:00,1
2019-04-22 23:22:00,2
2019-04-22 23:23:00,1
2019-04-22 23:24:00,1
2019-04-22 23:26:00,1
2019-04-22 23:27:00,2
2019-04-22 23:30:00,1
2019-04-22 23:31:00,1
2019-04-22 23:35:00,2
2019-04-22 23:36:00,1
2019-04-22 23:38:00,1
2019-04-22 23:39:00,2
2019-04-22 23:40:00,2
2019-04-22 23:41:00,1
2019-04-24 19:16:00,1
2019-04-24 19:17:00,1
2019-04-25 01:02:00,1
2019-04-25 01:03:00,1
2019-04-25 03:32:00,1
2019-04-25 03:33:00,2
2019-04-25 16:37:00,1
2019-04-25 16:49:00,1
2019-04-25 16:51:00,1
2019-04-25 16:52:00,1
2019-04-25 16:54:00,1
2019-04-25 16:56:00,1
2019-04-25 16:57:00,1
2019-04-25 16:59:00,1
2019-04-25 17:00:00,1
2019-04-25 17:02:00,1
2019-04-25 17:04:00,1
2019-04-25 17:06:00,1
2019-05-02 02:54:00,1
2019-05-02 02:55:00,1
2019-05-03 00:04:00,2
2019-05-03 18:24:00,2
2019-05-03 23:07:00,2
2019-05-08 12:51:00,1
2019-05-09 15:53:00,2
2019-05-11 14:29:00,1
2019-05-11 14:30:00,1
2019-05-11 14:32:00,1
2019-05-13 16:06:00,2
2019-05-14 15:20:00,1
2019-05-14 15:23:00,1
2019-05-14 16:39:00,1
2019-05-14 16:41:00,1
2019-05-15 08:01:00,2
2019-05-15 22:40:00,1
2019-05-15 22:42:00,1
2019-05-16 08:46:00,2
2019-05-16 09:56:00,1
2019-05-16 09:57:00,1
2019-05-16 14:06:00,1
2019-05-16 18:33:00,1
2019-05-16 18:34:00,1
2019-05-16 18:35:00,1
2019-05-16 18:39:00,1
2019-05-17 17:03:00,2
2019-05-17 19:52:00,1
2019-05-17 19:54:00,1
2019-05-17 19:55:00,1
2019-05-17 20:01:00,1
2019-05-17 20:02:00,1
2019-05-17 20:07:00,1
2019-05-17 20:09:00,1
2019-05-17 20:11:00,1
2019-05-17 20:15:00,3
2019-05-17 20:21:00,1
2019-05-17 21:31:00,1
2019-05-19 12:11:00,2
2019-05-19 23:20:00,1
2019-05-20 14:41:00,2
2019-05-20 15:30:00,1
2019-05-20 15:32:00,1
2019-05-20 16:02:00,1
2019-05-20 16:04:00,1
2019-05-20 16:10:00,1
2019-05-21 01:48:00,1
2019-05-21 06:41:00,1
2019-05-21 08:50:00,1
2019-05-21 08:55:00,1
2019-05-21 09:05:00,1
2019-05-21 09:30:00,1
2019-05-21 09:33:00,3
2019-05-21 09:39:00,1
2019-05-21 09:40:00,1
2019-05-21 09:43:00,1
2019-05-21 09:44:00,2
2019-05-21 09:46:00,2
2019-05-21 09:48:00,1
2019-05-21 09:55:00,1
2019-05-21 09:56:00,1
2019-05-21 09:57:00,2
2019-05-21 09:58:00,2
2019-05-21 09:59:00,1
2019-05-21 10:00:00,1
2019-05-21 10:08:00,1
2019-05-21 10:09:00,1
2019-05-21 10:10:00,2
2019-05-21 10:11:00,2
2019-05-21 10:12:00,1
2019-05-21 10:13:00,2
2019-05-21 10:15:00,1
2019-05-21 10:16:00,1
2019-05-21 10:17:00,1
2019-05-21 10:18:00,1
2019-05-21 10:19:00,4
2019-05-21 10:20:00,4
2019-05-21 10:21:00,2
2019-05-21 10:22:00,2
2019-05-21 10:23:00,1
2019-05-21 10:24:00,2
2019-05-21 10:25:00,1
2019-05-21 10:26:00,1
2019-05-21 10:28:00,1
2019-05-21 10:29:00,3
2019-05-21 10:30:00,2
2019-05-21 10:31:00,3
2019-05-21 10:32:00,4
2019-05-21 10:33:00,2
2019-05-21 10:34:00,2
2019-05-21 10:35:00,2
2019-05-21 10:36:00,2
2019-05-21 10:37:00,3
2019-05-21 10:38:00,1
2019-05-21 10:39:00,2
2019-05-21 10:40:00,3
2019-05-21 10:41:00,2
2019-05-21 10:42:00,2
2019-05-21 10:44:00,4
2019-05-21 10:45:00,2
2019-05-21 10:46:00,3
2019-05-21 10:47:00,3
2019-05-21 10:48:00,2
2019-05-21 10:49:00,2
2019-05-21 10:50:00,3
2019-05-21 10:51:00,3
2019-05-21 10:52:00,1
2019-05-21 10:53:00,1
2019-05-21 10:54:00,1
2019-05-21 10:55:00,1
2019-05-21 10:57:00,1
2019-05-21 10:59:00,1
2019-05-21 11:01:00,1
2019-05-21 11:03:00,2
2019-05-21 11:04:00,1
2019-05-21 11:53:00,2
2019-05-21 12:04:00,1
2019-05-21 12:05:00,1
2019-05-21 12:06:00,2
2019-05-21 12:07:00,1
2019-05-21 12:09:00,1
2019-05-21 12:10:00,1
2019-05-21 12:11:00,2
2019-05-21 12:12:00,1
2019-05-21 12:14:00,1
2019-05-21 12:15:00,1
2019-05-21 12:16:00,2
2019-05-21 12:17:00,3
2019-05-21 12:18:00,1
2019-05-21 12:19:00,2
2019-05-21 12:20:00,3
2019-05-21 12:21:00,4
2019-05-21 12:22:00,2
2019-05-21 12:23:00,1
2019-05-21 12:24:00,2
2019-05-21 12:26:00,2
2019-05-21 12:27:00,3
2019-05-21 12:28:00,2
2019-05-21 12:29:00,2
2019-05-21 12:30:00,2
2019-05-21 12:31:00,3
2019-05-21 12:32:00,1
2019-05-21 12:33:00,1
2019-05-21 12:35:00,3
2019-05-21 12:36:00,3
2019-05-21 12:38:00,1
2019-05-21 12:39:00,2
2019-05-21 12:40:00,2
2019-05-21 12:42:00,1
2019-05-21 13:37:00,2
2019-05-21 13:38:00,2
2019-05-21 13:39:00,3
2019-05-21 13:40:00,2
2019-05-21 13:41:00,3
2019-05-21 13:42:00,2
2019-05-21 13:43:00,1
2019-05-21 13:44:00,2
2019-05-21 13:45:00,2
2019-05-21 13:46:00,2
2019-05-21 14:27:00,1
2019-05-21 14:28:00,1
2019-05-21 14:54:00,1
2019-05-21 14:55:00,1
2019-05-21 14:56:00,1
2019-05-21 15:24:00,1
2019-05-21 15:27:00,1
2019-05-21 15:33:00,1
2019-05-21 15:34:00,1
2019-05-21 16:16:00,2
2019-05-21 19:11:00,1
