733,"SELECT u.up_up_id as up_id, dbo.fDistanceEq (u.up_ra, u.up_dec, p.ra, p.dec) as distance, p.ra, p.dec, p.raErr, p.decErr, p.objId, p.run, p.rerun, p.camcol, p.field, dbo.fPhotoModeN (mode) as mode, nChild, dbo.fPhotoTypeN (p.type) as type, clean, flags, psfMag_u, psfMag_g, psfMag_r, psfMag_i, psfMag_z, psfMagErr_u, psfMagErr_g, psfMagErr_r, psfMagErr_i, psfMagErr_z, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, modelMagErr_u, modelMagErr_g, modelMagErr_r, modelMagErr_i, modelMagErr_z, extinction_u, extinction_g, extinction_r, extinction_i, extinction_z, mjd FROM #upload u JOIN #x x ON x.up_id = u.up_id JOIN PhotoObj p ON p.objID = x.objID ORDER BY u.up_id, distance"
2019-08-29 01:13:00,1
2019-08-29 18:50:00,1
2019-08-30 17:21:00,1
2019-08-30 22:49:00,1
2019-08-30 22:50:00,1
2019-08-30 22:51:00,1
2019-08-30 23:25:00,1
2019-08-30 23:27:00,1
2019-08-30 23:34:00,1
2019-09-03 17:58:00,6
2019-09-03 23:08:00,1
2019-09-03 23:28:00,1
2019-09-03 23:39:00,1
2019-09-03 23:47:00,1
2019-09-03 23:52:00,1
2019-09-04 03:28:00,1
2019-09-04 08:58:00,1
2019-09-06 08:00:00,1
2019-09-06 20:02:00,1
2019-09-06 21:03:00,1
2019-09-08 17:45:00,1
2019-09-09 03:25:00,1
2019-09-09 03:27:00,1
2019-09-09 04:09:00,1
2019-09-09 08:47:00,1
2019-09-09 17:11:00,1
2019-09-09 17:12:00,1
2019-09-09 19:40:00,1
2019-09-09 20:16:00,1
2019-09-09 22:44:00,1
2019-09-10 02:58:00,1
2019-09-10 03:02:00,1
2019-09-10 17:23:00,1
2019-09-10 17:31:00,1
2019-09-10 17:34:00,1
2019-09-10 19:25:00,1
2019-09-11 14:15:00,1
2019-09-11 17:38:00,1
2019-09-11 22:51:00,1
2019-09-12 03:09:00,1
2019-09-14 18:51:00,1
2019-09-16 16:43:00,1
2019-09-16 18:42:00,1
2019-09-16 18:49:00,1
2019-09-16 18:55:00,1
2019-09-16 19:07:00,1
2019-09-16 19:56:00,1
2019-09-16 20:57:00,1
2019-09-18 17:36:00,1
2019-09-20 03:02:00,1
2019-09-20 19:47:00,1
2019-09-20 19:49:00,1
2019-09-23 17:26:00,1
2019-09-23 18:27:00,1
2019-09-23 19:54:00,1
2019-09-23 20:01:00,1
2019-09-23 23:28:00,1
2019-09-23 23:32:00,1
2019-09-23 23:40:00,1
2019-09-23 23:43:00,1
2019-09-23 23:46:00,1
2019-09-23 23:54:00,1
2019-09-24 00:00:00,1
2019-09-24 00:03:00,1
2019-09-24 00:22:00,1
2019-09-24 00:25:00,1
2019-09-24 00:30:00,1
2019-09-24 00:33:00,1
2019-09-24 00:41:00,1
2019-09-24 00:47:00,1
2019-09-24 00:56:00,1
2019-09-24 01:02:00,1
2019-09-24 01:17:00,1
2019-09-24 03:32:00,1
2019-09-24 16:01:00,1
2019-09-24 16:23:00,1
2019-09-24 20:30:00,1
2019-09-24 23:26:00,1
2019-09-25 02:51:00,1
2019-09-25 04:10:00,1
2019-09-26 02:30:00,1
2019-09-26 13:02:00,1
2019-09-27 01:07:00,1
