1045,"SELECT p.objId, p.ra, p.dec, p.petror9#_r, p.expAB_r, p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i, s.z, s.plate, s.mjd, s.fiberid FROM galaxy AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.petror9#_r > # and p.ra between # and # and s.z between # and # and p.g < #"
2019-11-28 07:03:00,1
2019-11-28 07:19:00,1
2019-11-28 07:21:00,1
2019-11-28 07:28:00,1
2019-11-28 09:55:00,1
2019-11-28 10:33:00,1
2019-11-28 10:48:00,1
2019-11-28 11:10:00,1
2019-11-28 11:22:00,2
2019-11-28 12:07:00,1
2019-11-28 12:21:00,3
2019-11-28 12:22:00,2
2019-11-28 14:00:00,1
2019-11-28 14:34:00,1
2019-11-28 15:14:00,1
2019-11-28 15:31:00,1
2019-11-28 15:33:00,1
2019-11-28 17:19:00,1
2019-11-28 17:24:00,1
2019-11-28 17:58:00,1
2019-11-29 04:29:00,1
2019-11-29 05:02:00,1
2019-11-29 06:22:00,1
2019-11-29 06:30:00,1
2019-11-29 06:35:00,1
2019-11-29 06:42:00,1
2019-11-29 06:45:00,1
2019-11-29 06:49:00,1
2019-11-29 07:33:00,1
2019-11-29 07:34:00,1
2019-11-29 08:09:00,2
2019-11-29 08:19:00,1
2019-11-29 08:23:00,1
2019-11-29 08:26:00,1
2019-11-29 08:48:00,1
2019-11-29 08:52:00,1
2019-11-29 09:20:00,1
2019-11-29 09:22:00,1
2019-11-29 09:25:00,1
2019-11-29 09:26:00,1
2019-11-29 09:31:00,1
2019-11-29 09:39:00,1
2019-11-29 09:49:00,1
2019-11-29 10:02:00,1
2019-11-29 10:11:00,1
2019-11-29 10:12:00,1
2019-11-29 10:15:00,2
2019-11-29 10:39:00,1
2019-11-29 10:53:00,1
2019-11-29 11:08:00,1
2019-11-29 11:20:00,1
2019-11-29 11:33:00,1
2019-11-29 13:04:00,1
2019-11-30 11:15:00,1
2019-11-30 11:23:00,1
2019-11-30 11:41:00,1
2019-11-30 11:57:00,1
2019-11-30 13:25:00,1
2019-11-30 16:25:00,1
2019-12-01 07:12:00,1
2019-12-01 07:49:00,1
2019-12-01 08:18:00,1
2019-12-01 10:37:00,1
2019-12-01 11:12:00,1
2019-12-01 11:14:00,1
2019-12-01 11:40:00,1
2019-12-01 11:59:00,1
2019-12-01 12:00:00,1
2019-12-01 12:03:00,1
2019-12-01 13:14:00,2
2019-12-01 13:16:00,1
2019-12-01 15:05:00,2
2019-12-01 15:12:00,1
2019-12-01 15:45:00,1
2019-12-01 18:42:00,1
2019-12-01 18:43:00,1
2019-12-01 18:48:00,1
2019-12-01 18:52:00,1
2019-12-01 19:06:00,1
2019-12-02 08:14:00,1
2019-12-02 11:22:00,2
2019-12-02 11:54:00,1
2019-12-02 12:10:00,1
2019-12-02 15:43:00,2
2019-12-02 16:07:00,2
2019-12-03 08:27:00,1
2019-12-03 08:28:00,1
2019-12-03 08:30:00,1
2019-12-03 08:46:00,2
2019-12-03 09:55:00,2
2019-12-03 10:35:00,1
2019-12-03 11:26:00,1
2019-12-03 12:23:00,1
2019-12-03 14:14:00,1
2019-12-04 01:58:00,1
2019-12-04 08:07:00,1
2019-12-04 08:13:00,1
2019-12-04 08:14:00,1
2019-12-04 08:50:00,1
2019-12-04 09:37:00,1
2019-12-04 12:15:00,1
2019-12-04 17:34:00,1
2019-12-05 11:01:00,1
2019-12-05 11:03:00,1
2019-12-05 11:04:00,1
2019-12-05 11:33:00,1
2019-12-05 11:34:00,1
2019-12-06 07:14:00,1
2019-12-11 10:43:00,1
2019-12-11 10:45:00,1
2019-12-17 01:34:00,1
2019-12-17 01:37:00,1
2019-12-17 01:51:00,1
2019-12-17 01:58:00,1
2019-12-17 02:00:00,2
2019-12-17 02:01:00,1
2019-12-17 02:06:00,1
