1371,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE"
2019-04-16 15:27:00,1
2019-04-16 15:28:00,1
2019-04-16 16:31:00,2
2019-04-16 16:32:00,1
2019-04-16 16:37:00,1
2019-04-16 16:45:00,1
2019-04-16 16:46:00,1
2019-04-16 16:48:00,1
2019-04-16 17:07:00,1
2019-04-16 17:12:00,2
2019-04-16 17:13:00,1
2019-04-16 17:51:00,1
2019-04-16 17:54:00,1
2019-04-16 17:59:00,1
2019-04-16 18:09:00,1
2019-04-16 18:10:00,1
2019-04-16 18:12:00,1
2019-04-16 22:24:00,1
2019-04-16 22:28:00,1
2019-04-16 22:29:00,1
2019-04-16 22:32:00,1
2019-04-16 22:48:00,1
2019-04-16 22:52:00,1
2019-04-16 22:58:00,1
2019-04-16 23:02:00,1
2019-04-16 23:05:00,1
2019-04-16 23:11:00,1
2019-04-16 23:14:00,1
2019-04-16 23:15:00,1
2019-04-17 00:00:00,1
2019-04-17 00:01:00,1
2019-04-17 00:06:00,1
2019-04-17 00:20:00,2
2019-04-17 00:27:00,1
2019-04-17 00:32:00,1
2019-04-17 00:36:00,1
2019-04-17 00:41:00,1
2019-04-17 00:50:00,1
2019-04-17 00:52:00,1
2019-04-17 00:56:00,1
2019-04-17 00:59:00,1
2019-04-17 01:05:00,1
2019-04-17 01:08:00,1
2019-04-17 01:09:00,1
2019-04-17 01:14:00,1
2019-04-17 01:18:00,2
2019-04-17 01:22:00,1
2019-04-17 01:27:00,1
2019-04-17 01:31:00,1
2019-04-17 01:35:00,1
2019-04-17 01:40:00,1
2019-04-17 01:44:00,1
2019-04-17 01:49:00,1
2019-04-17 01:52:00,1
2019-04-17 01:56:00,1
2019-04-17 01:58:00,2
2019-04-17 02:09:00,1
