1759,"SELECT DISTINCT po.objid AS phot_id, po.ra AS phot_ra, po.dec AS phot_dec, po.modelmag_i AS modmag_i FROM PhotoPrimary po WHERE ( po.clean = # OR ( ((po.flags & #) != #) AND ((po.flags & #) = #) AND (((po.flags & #) = #) OR (po.psfmagerr_i <= #)) AND (((po.flags & #) = #) OR (po.flags & #) = #) ) ) AND (po.calibStatus_i & #) != # AND po.modelmagerr_i <= # AND po.modelmagerr_i > # AND po.modelmag_i > # AND po.extinction_i <= # AND po.ra BETWEEN # AND #"
2019-07-31 15:29:00,3
2019-07-31 15:30:00,3
2019-07-31 15:31:00,4
2019-07-31 15:32:00,3
2019-07-31 15:33:00,3
2019-07-31 15:34:00,4
2019-07-31 15:35:00,4
2019-07-31 15:36:00,1
2019-07-31 15:37:00,5
2019-07-31 15:38:00,1
2019-07-31 15:39:00,5
2019-07-31 15:41:00,2
2019-07-31 15:42:00,4
2019-07-31 15:43:00,2
2019-07-31 15:44:00,2
2019-07-31 17:27:00,1
2019-07-31 17:29:00,1
