14484,"SELECT  top # &&& + cast(p.objId as varchar(#)) + &&& + cast(p.objId as varchar(#)) + &&& as objID,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-07-29 07:05:00,8
2019-07-29 07:06:00,9
2019-07-29 07:07:00,3
2019-07-29 07:08:00,8
2019-07-29 07:09:00,3
2019-07-29 07:12:00,4
2019-07-29 07:14:00,66
2019-07-29 07:15:00,8
2019-07-29 07:16:00,9
2019-07-29 07:17:00,3
2019-07-29 07:18:00,8
2019-07-29 07:19:00,3
2019-07-29 07:22:00,4
2019-07-29 07:24:00,66
2019-07-29 07:25:00,8
2019-07-29 07:26:00,9
2019-07-29 07:28:00,11
2019-07-29 07:29:00,3
2019-07-29 07:32:00,4
2019-07-29 07:34:00,66
2019-07-29 07:35:00,8
2019-07-29 07:36:00,9
2019-07-29 07:38:00,11
2019-07-29 07:39:00,3
2019-07-29 07:42:00,4
2019-07-29 07:44:00,67
2019-07-29 07:45:00,8
2019-07-29 07:46:00,10
2019-07-29 07:48:00,11
2019-07-29 07:49:00,3
2019-07-29 07:52:00,4
2019-07-29 07:54:00,64
2019-07-29 07:55:00,8
2019-07-29 07:56:00,10
2019-07-29 07:58:00,11
2019-07-29 07:59:00,3
2019-07-29 08:02:00,4
2019-07-29 08:04:00,65
2019-07-29 08:05:00,2
2019-07-29 08:06:00,9
2019-07-29 08:08:00,11
2019-07-29 08:09:00,3
2019-07-29 08:12:00,4
2019-07-29 08:14:00,64
2019-07-29 08:15:00,8
2019-07-29 08:16:00,9
2019-07-29 08:18:00,11
2019-07-29 08:19:00,2
2019-07-29 08:20:00,1
2019-07-29 08:22:00,4
2019-07-29 08:24:00,64
2019-07-29 08:25:00,8
2019-07-29 08:26:00,9
2019-07-29 08:28:00,11
2019-07-29 08:29:00,2
2019-07-29 08:30:00,1
2019-07-29 08:32:00,4
2019-07-29 08:34:00,64
2019-07-29 08:35:00,8
2019-07-29 08:36:00,4
2019-07-29 08:37:00,5
2019-07-29 08:38:00,11
2019-07-29 08:39:00,2
2019-07-29 08:40:00,1
2019-07-29 08:42:00,4
2019-07-29 08:44:00,66
2019-07-29 08:45:00,8
2019-07-29 08:46:00,5
2019-07-29 08:47:00,4
2019-07-29 08:48:00,11
2019-07-29 08:49:00,2
2019-07-29 08:50:00,1
2019-07-29 08:52:00,4
2019-07-29 08:54:00,66
2019-07-29 08:55:00,8
2019-07-29 08:56:00,5
2019-07-29 08:57:00,4
2019-07-29 08:58:00,11
2019-07-29 08:59:00,2
2019-07-29 09:00:00,1
2019-07-29 09:02:00,4
2019-07-29 09:04:00,66
2019-07-29 09:05:00,8
2019-07-29 09:06:00,6
2019-07-29 09:07:00,4
2019-07-29 09:08:00,11
2019-07-29 09:09:00,2
2019-07-29 09:10:00,1
2019-07-29 09:12:00,4
2019-07-29 09:14:00,65
2019-07-29 09:15:00,8
2019-07-29 09:16:00,5
2019-07-29 09:17:00,4
2019-07-29 09:18:00,12
2019-07-29 09:19:00,2
2019-07-29 09:20:00,1
